SOURCE_ID|TARGET_ID|YEAR|AMOUNT|MEAN|STD
C00000059|H0AK00105|2020|3000|1000|3
C00000059|H8FL15289|2020|3000|2000|5
C00000059|H0AK01046|2020|6000|1000|1
C00000059|H0AL01055|2020|10000|10000|0
C00000059|H0AL01063|2020|3000|1000|3
C00000059|H0AL01071|2020|1000|1000|0
C00000059|H0AL01089|2020|3000|1000|3
C00000059|H0AL01097|2020|3000|1000|3
C00000059|H0AL01105|2020|3000|1000|3
C00000059|H0AL01113|2020|10000|10000|0
C00000422|H0AL01113|2020|3000|3000|0
C00000547|H0AL01113|2020|3000|3000|0
C00000638|H0AL01113|2020|3000|3000|0
C00000489|C00000935|2020|3000|3000|0
C00000935|H0AL01097|2020|30000|30000|0
C00000935|H0AL01105|2020|30000|30000|0
C00682427|H8FL15289|2020|30000|30000|0
C00682427|H0AL01055|2020|30000|30000|0
C00682427|H0AL01063|2020|90000|30000|3
C00682427|H0AL01089|2020|90000|30000|3
C00000489|C00264101|2020|90000|30000|3
