SOURCE_ZIP|TARGET_ID|YEAR|AMOUNT|MEAN|STD
33527|C00680470|2020|20000|50|1
33527|C00264101|2020|20000|50|1
33527|C00265850|2020|50|50|1
33527|C00682427|2020|20000|50|1
33527|C00000935|2020|20000|50|1
90017|C00680470|2020|2000|50|1
90017|C00264101|2020|20000|50|1
90017|C00265850|2020|500000|50|1
90017|C00682427|2020|20000|50|1
90017|C00000935|2020|20000|50|1
43215|C00680470|2020|200|50|1
43215|C00264101|2020|2000|50|1
43215|C00265850|2020|500000|50|1
43215|C00682427|2020|2000|50|1
43215|C00000935|2020|2000|50|1
43215|H0AK00105|2020|20000|50|1
43215|H8FL15289|2020|8000|50|1
43215|H0AK01046|2020|2000|50|1
43215|H0AL01055|2020|2000|50|1
43215|H0AL01063|2020|3000|50|1
43215|H0AL01071|2020|2000|50|1
43215|H0AL01089|2020|1000|50|1
43215|H0AL01097|2020|2000|50|1
43215|H0AL01105|2020|2000|50|1
43215|H0AL01113|2020|3000|50|1
90035|H0AK00105|2020|200000|50|1
90035|H8FL15289|2020|20000|50|1
90035|H0AK01046|2020|20000|50|1
90035|H0AL01055|2020|40000|50|1
90035|H0AL01063|2020|20000|50|1
90035|H0AL01071|2020|90000|50|1
90035|H0AL01089|2020|20000|50|1
90035|H0AL01097|2020|20000|50|1
90035|H0AL01105|2020|70000|50|1
90035|H0AL01113|2020|20000|50|1
